sku_id,category,subcategory,snapshot_date,on_hand_units,on_order_units,inventory_position,lead_time_days,source_reorder_point,calculated_risk_threshold,demand_rate_weekly,forecast_rate_weekly,preferred_demand_source,coverage_weeks,shortfall_units,stockout_risk,overstock_risk,volatility_cv,unit_cost,excess_units_over_healthy,inventory_value_exposure_rupees,stockout_shortfall_rupees,rupee_value_at_stake,decision,decision_reason,data_quality_flag,weeks_observed
SKU03975,Apparel & Footwear,Men's Wear,2025-12-31 00:00:00,8855.0,0.0,8855.0,14.0,1941.0,10.0,5.0,0.0,d3_forecast,1771.0,0.0,0.0,1.0,,1461.62,8835.0,12913412.7,0.0,12913412.7,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU02541,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,8329.0,0.0,8329.0,14.0,1893.0,6.0,3.0,0.0,d3_forecast,2776.3333333333335,0.0,0.0,1.0,,1551.99,8317.0,12907900.83,0.0,12907900.83,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04791,Electronics & Accessories,Batteries,2025-12-31 00:00:00,6763.0,0.0,6763.0,14.0,1525.0,7.0,3.5,4.0,d3_forecast,1932.2857142857142,0.0,0.0,1.0,,1755.1,6749.0,11845169.899999999,0.0,11845169.899999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03991,Electronics & Accessories,Batteries,2025-12-31 00:00:00,6848.0,0.0,6848.0,14.0,1604.0,6.0,3.0,0.0,d3_forecast,2282.6666666666665,0.0,0.0,1.0,,1728.69,6836.0,11817324.84,0.0,11817324.84,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU02302,Home & Kitchen,Home Decor,2025-12-31 00:00:00,8624.0,0.0,8624.0,14.0,1810.0,2.0,1.0,1.0,d3_forecast,8624.0,0.0,0.0,1.0,,1352.92,8620.0,11662170.4,0.0,11662170.4,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU02421,Apparel & Footwear,Kids Wear,2025-12-31 00:00:00,7163.0,0.0,7163.0,14.0,1630.0,2.0,1.0,1.0,d3_forecast,7163.0,0.0,0.0,1.0,,1612.38,7159.0,11543028.42,0.0,11543028.42,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04554,Home & Kitchen,Home Decor,2025-12-31 00:00:00,8198.0,0.0,8198.0,14.0,1774.0,4.0,2.0,1.0,d3_forecast,4099.0,0.0,0.0,1.0,,1393.38,8190.0,11411782.200000001,0.0,11411782.200000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU00024,Electronics & Accessories,Batteries,2025-12-31 00:00:00,6453.0,0.0,6453.0,14.0,1467.0,4.0,2.0,2.0,d3_forecast,3226.5,0.0,0.0,1.0,,1671.96,6445.0,10775782.200000001,0.0,10775782.200000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU00584,Apparel & Footwear,Women's Wear,2025-12-31 00:00:00,5819.0,0.0,5819.0,14.0,1365.0,4.0,2.0,2.0,d3_forecast,2909.5,0.0,0.0,1.0,,1830.55,5811.0,10637326.049999999,0.0,10637326.049999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03833,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,8894.0,0.0,8894.0,14.0,1913.0,8.0,4.0,0.0,d3_forecast,2223.5,0.0,0.0,1.0,,1179.22,8878.0,10469115.16,0.0,10469115.16,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01971,Apparel & Footwear,Kids Wear,2025-12-31 00:00:00,7611.0,0.0,7611.0,14.0,1803.0,10.0,5.0,0.0,d3_forecast,1522.2,0.0,0.0,1.0,,1369.13,7591.0,10393065.83,0.0,10393065.83,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU00987,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,9126.0,0.0,9126.0,14.0,1998.0,4.0,2.0,0.0,d3_forecast,4563.0,0.0,0.0,1.0,,1137.98,9118.0,10376101.64,0.0,10376101.64,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU00507,Apparel & Footwear,Footwear,2025-12-31 00:00:00,8834.0,0.0,8834.0,14.0,1906.0,6.0,3.0,0.0,d3_forecast,2944.6666666666665,0.0,0.0,1.0,,1152.62,8822.0,10168413.639999999,0.0,10168413.639999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03863,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,8574.0,0.0,8574.0,14.0,1902.0,4.0,2.0,0.0,d3_forecast,4287.0,0.0,0.0,1.0,,1180.8,8566.0,10114732.799999999,0.0,10114732.799999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU02915,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,5779.0,0.0,5779.0,14.0,1396.0,4.666666666666667,2.3333333333333335,2.0,d3_forecast,2476.714285714286,0.0,0.0,1.0,,1746.3,5769.666666666667,10075568.9,0.0,10075568.9,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU02253,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,9056.0,0.0,9056.0,14.0,1946.0,6.0,3.0,3.0,d3_forecast,3018.6666666666665,0.0,0.0,1.0,,1098.95,9044.0,9938903.8,0.0,9938903.8,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03173,Apparel & Footwear,Kids Wear,2025-12-31 00:00:00,6495.0,0.0,6495.0,14.0,1395.0,4.0,2.0,2.0,d3_forecast,3247.5,0.0,0.0,1.0,,1441.24,6487.0,9349323.88,0.0,9349323.88,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04236,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,7621.0,0.0,7621.0,14.0,1635.0,2.0,1.0,0.0,d3_forecast,7621.0,0.0,0.0,1.0,,1215.6,7617.0,9259225.2,0.0,9259225.2,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03290,Apparel & Footwear,Kids Wear,2025-12-31 00:00:00,7988.0,0.0,7988.0,14.0,1629.0,6.0,3.0,5.0,d3_forecast,2662.6666666666665,0.0,0.0,1.0,,1155.95,7976.0,9219857.200000001,0.0,9219857.200000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03089,Home & Kitchen,Storage & Containers,2025-12-31 00:00:00,7814.0,0.0,7814.0,14.0,1773.0,2.0,1.0,1.0,d3_forecast,7814.0,0.0,0.0,1.0,,1178.03,7810.0,9200414.299999999,0.0,9200414.299999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU02279,Apparel & Footwear,Footwear,2025-12-31 00:00:00,7649.0,0.0,7649.0,14.0,1794.0,4.0,2.0,2.5,d3_forecast,3824.5,0.0,0.0,1.0,,1201.75,7641.0,9182571.75,0.0,9182571.75,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU03634,Apparel & Footwear,Footwear,2025-12-31 00:00:00,6420.0,0.0,6420.0,14.0,1383.0,2.0,1.5,1.0,d3_forecast,6420.0,0.0,0.0,1.0,0.6666666666666666,1426.85,6416.0,9154669.6,0.0,9154669.6,MARKDOWN_CLEAR,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,low_history,4.0
SKU04729,Electronics & Accessories,Batteries,2025-12-31 00:00:00,7221.0,0.0,7221.0,14.0,1634.0,4.0,2.0,0.0,d3_forecast,3610.5,0.0,0.0,1.0,,1237.64,7213.0,8927097.32,0.0,8927097.32,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04158,Apparel & Footwear,Men's Wear,2025-12-31 00:00:00,4377.0,0.0,4377.0,14.0,1060.0,3.0,1.5,1.0,d3_forecast,2918.0,0.0,0.0,1.0,,2040.86,4371.0,8920599.059999999,0.0,8920599.059999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04250,Health & Wellness,OTC Medicine,2025-12-31 00:00:00,8411.0,0.0,8411.0,14.0,1835.0,2.0,1.0,0.0,d3_forecast,8411.0,0.0,0.0,1.0,,1040.59,8407.0,8748240.129999999,0.0,8748240.129999999,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01407,Home & Kitchen,Cookware,2025-12-31 00:00:00,7961.0,0.0,7961.0,14.0,1735.0,2.0,1.0,0.0,d3_forecast,7961.0,0.0,0.0,1.0,,1082.62,7957.0,8614407.34,0.0,8614407.34,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04849,Electronics & Accessories,Batteries,2025-12-31 00:00:00,7648.0,0.0,7648.0,14.0,1639.0,3.3333333333333335,1.6666666666666667,1.4375,d3_forecast,4588.8,0.0,0.0,1.0,,1088.18,7641.333333333333,8315146.106666666,0.0,8315146.106666666,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU02471,Home & Kitchen,Home Decor,2025-12-31 00:00:00,7930.0,0.0,7930.0,14.0,1691.0,3.0,1.5,1.5,d3_forecast,5286.666666666667,0.0,0.0,1.0,0.6666666666666666,1039.93,7924.0,8240405.32,0.0,8240405.32,MARKDOWN_CLEAR,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,low_history,4.0
SKU03740,Apparel & Footwear,Men's Wear,2025-12-31 00:00:00,7323.0,0.0,7323.0,14.0,1653.0,5.333333333333333,2.6666666666666665,3.0,d3_forecast,2746.125,0.0,0.0,1.0,,1124.92,7312.333333333333,8225790.013333334,0.0,8225790.013333334,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU04212,Apparel & Footwear,Footwear,2025-12-31 00:00:00,7339.0,0.0,7339.0,14.0,1690.0,2.0,1.0,0.0,d3_forecast,7339.0,0.0,0.0,1.0,,1094.51,7335.0,8028230.85,0.0,8028230.85,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01582,Home & Kitchen,Cookware,2025-12-31 00:00:00,7626.0,0.0,7626.0,14.0,1681.0,2.5,1.2,1.25,d3_forecast,6100.8,0.0,0.0,1.0,0.37267799624996506,1052.77,7621.0,8023160.17,0.0,8023160.17,MARKDOWN_CLEAR,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,low_history,5.0
SKU01674,Home & Kitchen,Cookware,2025-12-31 00:00:00,6655.0,0.0,6655.0,14.0,1477.0,6.0,3.0,0.0,d3_forecast,2218.3333333333335,0.0,0.0,1.0,,1195.67,6643.0,7942835.8100000005,0.0,7942835.8100000005,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU00936,Home & Kitchen,Home Decor,2025-12-31 00:00:00,5503.0,0.0,5503.0,14.0,1225.0,4.0,2.0,1.0,d3_forecast,2751.5,0.0,0.0,1.0,,1404.14,5495.0,7715749.300000001,0.0,7715749.300000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04665,Electronics & Accessories,Batteries,2025-12-31 00:00:00,8297.0,0.0,8297.0,14.0,1788.0,4.0,2.0,2.0,d3_forecast,4148.5,0.0,0.0,1.0,,920.86,8289.0,7633008.54,0.0,7633008.54,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU02351,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,7177.0,0.0,7177.0,14.0,1579.0,2.0,1.0,1.0,d3_forecast,7177.0,0.0,0.0,1.0,,1044.31,7173.0,7490835.63,0.0,7490835.63,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU01970,Electronics & Accessories,Batteries,2025-12-31 00:00:00,7867.0,0.0,7867.0,14.0,1773.0,3.0,1.5,1.0,d3_forecast,5244.666666666667,0.0,0.0,1.0,,951.86,7861.0,7482571.46,0.0,7482571.46,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03235,Apparel & Footwear,Footwear,2025-12-31 00:00:00,7099.0,0.0,7099.0,14.0,1629.0,2.0,1.0,0.0,d3_forecast,7099.0,0.0,0.0,1.0,,1052.65,7095.0,7468551.750000001,0.0,7468551.750000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01592,Electronics & Accessories,Small Appliances,2025-12-31 00:00:00,6806.0,0.0,6806.0,14.0,1434.0,4.0,2.0,2.5,d3_forecast,3403.0,0.0,0.0,1.0,,1076.66,6798.0,7319134.680000001,0.0,7319134.680000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU01986,Electronics & Accessories,Batteries,2025-12-31 00:00:00,4464.0,0.0,4464.0,14.0,1032.0,6.666666666666667,3.3333333333333335,2.5,d3_forecast,1339.2,0.0,0.0,1.0,,1635.75,4450.666666666667,7280178.000000001,0.0,7280178.000000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU03805,Health & Wellness,OTC Medicine,2025-12-31 00:00:00,7499.0,0.0,7499.0,14.0,1688.0,4.0,2.0,0.0,d3_forecast,3749.5,0.0,0.0,1.0,,962.72,7491.0,7211735.5200000005,0.0,7211735.5200000005,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03073,Apparel & Footwear,Kids Wear,2025-12-31 00:00:00,6327.0,0.0,6327.0,14.0,1363.0,2.0,1.0,0.0,d3_forecast,6327.0,0.0,0.0,1.0,,1129.75,6323.0,7143409.25,0.0,7143409.25,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU00631,Home & Kitchen,Cookware,2025-12-31 00:00:00,7302.0,0.0,7302.0,14.0,1732.0,6.0,3.0,0.0,d3_forecast,2434.0,0.0,0.0,1.0,,954.88,7290.0,6961075.2,0.0,6961075.2,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU00449,Health & Wellness,OTC Medicine,2025-12-31 00:00:00,7089.0,0.0,7089.0,14.0,1529.0,4.0,2.0,0.0,d3_forecast,3544.5,0.0,0.0,1.0,,969.92,7081.0,6868003.52,0.0,6868003.52,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03484,Apparel & Footwear,Footwear,2025-12-31 00:00:00,7958.0,0.0,7958.0,14.0,1773.0,2.0,1.0,0.0,d3_forecast,7958.0,0.0,0.0,1.0,,861.67,7954.0,6853723.18,0.0,6853723.18,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03602,Apparel & Footwear,Men's Wear,2025-12-31 00:00:00,5575.0,0.0,5575.0,14.0,1279.0,5.0,2.5,1.0,d3_forecast,2230.0,0.0,0.0,1.0,,1183.22,5565.0,6584619.3,0.0,6584619.3,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU01911,Home & Kitchen,Storage & Containers,2025-12-31 00:00:00,7733.0,0.0,7733.0,14.0,1765.0,5.0,2.5,2.0,d3_forecast,3093.2,0.0,0.0,1.0,,837.95,7723.0,6471487.850000001,0.0,6471487.850000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU01104,Apparel & Footwear,Kids Wear,2025-12-31 00:00:00,7823.0,0.0,7823.0,14.0,1755.0,4.0,2.0,2.0,d3_forecast,3911.5,0.0,0.0,1.0,,826.23,7815.0,6456987.45,0.0,6456987.45,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU02408,Home & Kitchen,Home Decor,2025-12-31 00:00:00,6797.0,0.0,6797.0,14.0,1441.0,4.0,2.0,0.0,d3_forecast,3398.5,0.0,0.0,1.0,,933.01,6789.0,6334204.89,0.0,6334204.89,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU03058,Apparel & Footwear,Women's Wear,2025-12-31 00:00:00,8242.0,0.0,8242.0,14.0,1863.0,5.333333333333333,2.6666666666666665,2.5,d3_forecast,3090.75,0.0,0.0,1.0,,765.86,8231.333333333334,6304048.946666667,0.0,6304048.946666667,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU04470,Home & Kitchen,Storage & Containers,2025-12-31 00:00:00,4487.0,0.0,4487.0,14.0,1068.0,4.0,2.0,1.0,d3_forecast,2243.5,0.0,0.0,1.0,,1387.45,4479.0,6214388.55,0.0,6214388.55,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU02897,Electronics & Accessories,Batteries,2025-12-31 00:00:00,3546.0,0.0,3546.0,14.0,798.0,4.0,2.0,2.0,d3_forecast,1773.0,0.0,0.0,1.0,,1735.84,3538.0,6141401.92,0.0,6141401.92,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,3.0
SKU01830,Apparel & Footwear,Women's Wear,2025-12-31 00:00:00,6825.0,0.0,6825.0,14.0,1438.0,3.3333333333333335,1.75,1.6666666666666667,d3_forecast,4095.0,0.0,0.0,1.0,0.5471012044321932,899.39,6818.333333333333,6132340.816666666,0.0,6132340.816666666,MARKDOWN_CLEAR,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,low_history,4.0
SKU03115,Frozen Foods,Frozen Vegetables,2025-12-31 00:00:00,10515.0,0.0,10515.0,14.0,2171.0,2.0,1.0,0.0,d3_forecast,10515.0,0.0,0.0,1.0,,581.3,10511.0,6110044.3,0.0,6110044.3,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU01038,Health & Wellness,OTC Medicine,2025-12-31 00:00:00,7546.0,0.0,7546.0,14.0,1644.0,3.0,1.5,1.0,d3_forecast,5030.666666666667,0.0,0.0,1.0,,802.08,7540.0,6047683.2,0.0,6047683.2,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04491,Home & Kitchen,Storage & Containers,2025-12-31 00:00:00,8762.0,0.0,8762.0,14.0,1839.0,3.0,1.5,1.0,d3_forecast,5841.333333333333,0.0,0.0,1.0,,686.53,8756.0,6011256.68,0.0,6011256.68,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU02211,Health & Wellness,Vitamins & Supplements,2025-12-31 00:00:00,7710.0,0.0,7710.0,14.0,1721.0,4.0,2.0,1.0,d3_forecast,3855.0,0.0,0.0,1.0,,779.6,7702.0,6004479.2,0.0,6004479.2,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU03627,Frozen Foods,Ready Meals,2025-12-31 00:00:00,8081.0,0.0,8081.0,14.0,1786.0,3.0,1.5,1.0,d3_forecast,5387.333333333333,0.0,0.0,1.0,,735.55,8075.0,5939566.25,0.0,5939566.25,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04854,Electronics & Accessories,Batteries,2025-12-31 00:00:00,5340.0,0.0,5340.0,14.0,1228.0,2.0,1.0,1.0,d3_forecast,5340.0,0.0,0.0,1.0,,1096.57,5336.0,5851297.52,0.0,5851297.52,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04392,Health & Wellness,First Aid,2025-12-31 00:00:00,7431.0,0.0,7431.0,14.0,1674.0,6.0,3.0,0.0,d3_forecast,2477.0,0.0,0.0,1.0,,771.85,7419.0,5726355.15,0.0,5726355.15,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04388,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,5379.0,0.0,5379.0,14.0,1299.0,2.0,1.0,0.0,d3_forecast,5379.0,0.0,0.0,1.0,,1058.38,5375.0,5688792.500000001,0.0,5688792.500000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04152,Health & Wellness,OTC Medicine,2025-12-31 00:00:00,7386.0,0.0,7386.0,14.0,1615.0,2.0,1.0,0.0,d3_forecast,7386.0,0.0,0.0,1.0,,769.38,7382.0,5679563.16,0.0,5679563.16,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU04831,Home & Kitchen,Storage & Containers,2025-12-31 00:00:00,8033.0,0.0,8033.0,14.0,1864.0,4.0,2.0,2.0,d3_forecast,4016.5,0.0,0.0,1.0,,672.2,8025.0,5394405.0,0.0,5394405.0,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU04887,Home & Kitchen,Storage & Containers,2025-12-31 00:00:00,7218.0,0.0,7218.0,14.0,1486.0,2.0,1.0,0.0,d3_forecast,7218.0,0.0,0.0,1.0,,747.65,7214.0,5393547.1,0.0,5393547.1,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
SKU00502,Health & Wellness,OTC Medicine,2025-12-31 00:00:00,8794.0,0.0,8794.0,14.0,2063.0,4.0,2.0,3.0,d3_forecast,4397.0,0.0,0.0,1.0,,604.85,8786.0,5314212.100000001,0.0,5314212.100000001,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,2.0
SKU01179,Electronics & Accessories,Mobile Accessories,2025-12-31 00:00:00,7122.0,0.0,7122.0,14.0,1622.0,2.0,1.0,0.0,d3_forecast,7122.0,0.0,0.0,1.0,,735.54,7118.0,5235573.72,0.0,5235573.72,WATCH_VOLATILE,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,insufficient_data,1.0
