sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU00041,Electronics & Accessories,Small Appliances,2022-02-25,1754.57,2490.74
SKU00042,Health & Wellness,OTC Medicine,2025-09-07,617.92,1110.09
SKU00043,Health & Wellness,First Aid,2022-03-07,414.79,615.37
SKU00044,Personal Care,Skin Care,2022-03-15,309.26,525.77
SKU00045,Stationery & Office,Writing Instruments,2022-11-13,253.27,352.71
SKU00046,Beverages,Bottled Water,2022-11-25,120.46,154.0
SKU00047,Personal Care,Men's Grooming,2023-03-21,165.62,289.44
SKU00048,Beverages,Energy Drinks,2022-01-24,83.14,111.68
SKU00049,Personal Care,Oral Care,2023-01-05,442.65,584.25
SKU00050,Stationery & Office,Office Supplies,2022-01-30,20.25,34.08
SKU00051,Personal Care,Oral Care,2023-12-21,262.89,336.75
SKU00052,Home & Kitchen,Storage & Containers,2023-01-03,967.68,1372.15
SKU00053,Home Care,Pest Control,2022-05-25,220.18,322.02
SKU00054,Electronics & Accessories,Small Appliances,2022-02-15,1493.11,2079.97
SKU00055,Home Care,Surface Cleaners,2023-10-22,254.65,409.38
SKU00056,Dairy & Bakery,Butter & Ghee,2024-01-10,44.4,79.8
SKU00057,Apparel & Footwear,Kids Wear,,1510.65,2287.08
SKU00058,Stationery & Office,Office Supplies,,69.93,95.03
SKU00059,Dairy & Bakery,Butter & Ghee,2022-11-05,95.47,122.45
SKU00060,Apparel & Footwear,Men's Wear,2022-04-27,476.15,724.16
SKU00061,Dairy & Bakery,Milk,2022-01-17,153.89,249.85
SKU00062,Electronics & Accessories,Mobile Accessories,2022-01-17,291.09,499.45
SKU00063,Apparel & Footwear,Women's Wear,2022-01-13,1264.03,1612.54
SKU00064,Home Care,Air Fresheners,2022-12-19,130.58,214.86
SKU00065,Electronics & Accessories,Small Appliances,2023-04-22,749.86,964.12
SKU00066,Dairy & Bakery,Cheese,2024-10-31,132.45,222.25
SKU00067,Grocery,Spices & Seasoning,,273.09,492.46
SKU00068,Beverages,Tea,2022-04-28,161.78,266.94
SKU00069,Home Care,Laundry,2022-07-24,174.28,258.89
SKU00070,Home & Kitchen,Storage & Containers,2023-05-02,470.84,738.95
SKU00071,Beverages,Juices,2023-12-16,212.25,273.19
SKU00072,Home Care,Pest Control,2024-03-23,224.58,327.25
SKU00073,Electronics & Accessories,Small Appliances,2022-11-12,704.61,1216.02
SKU00074,Snacks & Confectionery,Candy,2022-10-15,139.5,197.5
SKU00075,Electronics & Accessories,Batteries,,2393.21,3697.58
SKU00076,Dairy & Bakery,Butter & Ghee,2022-03-16,220.42,306.25
SKU00077,Apparel & Footwear,Women's Wear,2025-06-09,1166.71,1562.82
SKU00078,Frozen Foods,Ready Meals,2022-04-26,653.46,820.53
SKU00079,Frozen Foods,Frozen Vegetables,2022-01-20,137.37,197.9
SKU00080,Snacks & Confectionery,Biscuits & Cookies,2025-10-02,54.69,85.23
SKU00081,Home Care,Laundry,2022-04-10,76.17,115.69
SKU00082,Home & Kitchen,Storage & Containers,2023-01-01,312.42,480.16
SKU00083,Grocery,Pulses & Lentils,2022-12-06,221.02,333.54
SKU00084,Apparel & Footwear,Men's Wear,2022-01-23,729.59,1308.64
SKU00085,Home Care,Dishwashing,2022-12-04,228.02,372.68
SKU00086,Electronics & Accessories,Small Appliances,2022-01-07,2220.28,2786.01
SKU00087,Health & Wellness,First Aid,2022-06-11,180.72,231.1
SKU00088,Home Care,Pest Control,2023-11-04,83.54,148.62
SKU00089,Dairy & Bakery,Yogurt,2022-11-27,251.4,316.27
SKU00090,Health & Wellness,OTC Medicine,2022-04-07,462.73,618.63
SKU00091,Beverages,Bottled Water,,123.16,223.64
SKU00092,Health & Wellness,OTC Medicine,2022-08-06,630.38,809.88
SKU00093,Beverages,Energy Drinks,2022-05-20,171.07,216.52
SKU00094,Health & Wellness,OTC Medicine,2025-06-06,756.04,1069.07
SKU00095,Health & Wellness,First Aid,,520.58,696.82
SKU00096,Beverages,Juices,2022-09-08,133.12,210.25
SKU00097,Apparel & Footwear,Kids Wear,2022-02-05,764.96,1103.71
SKU00098,Personal Care,Men's Grooming,,224.26,306.0
SKU00099,Apparel & Footwear,Footwear,2022-08-30,1154.2,1671.99
SKU00100,Grocery,Flour & Atta,,291.49,465.53
SKU00101,Snacks & Confectionery,Chips & Crisps,2022-07-31,87.31,122.57
SKU00102,Home Care,Surface Cleaners,2022-05-21,84.9,111.77
SKU00103,Snacks & Confectionery,Namkeen,2022-02-12,136.39,179.7
SKU00104,Dairy & Bakery,Bread,2022-05-13,227.32,389.89
SKU00105,Health & Wellness,First Aid,2022-05-24,332.66,503.0
SKU00106,Beverages,Bottled Water,2022-07-24,112.38,200.8
SKU00107,Electronics & Accessories,Mobile Accessories,2025-02-03,1778.82,2511.78
SKU00108,Beverages,Juices,2022-07-12,50.11,82.07
SKU00109,Snacks & Confectionery,Namkeen,2024-11-19,80.35,102.67
SKU00110,Health & Wellness,Vitamins & Supplements,2022-01-12,202.12,286.87
SKU00111,Apparel & Footwear,Footwear,2023-11-06,1506.31,2316.85
SKU00112,Snacks & Confectionery,Chips & Crisps,2025-02-04,160.42,218.89
SKU00113,Dairy & Bakery,Bread,2023-02-21,82.18,136.55
SKU00114,Stationery & Office,Writing Instruments,2025-05-07,97.29,169.83
SKU00115,Stationery & Office,Office Supplies,2023-09-15,26.2,45.82
SKU00116,Frozen Foods,Ready Meals,2022-02-10,220.62,317.12
SKU00117,Home Care,Surface Cleaners,2023-11-12,199.97,258.96
SKU00118,Personal Care,Bath & Body,2022-10-04,175.46,289.69
SKU00119,Health & Wellness,OTC Medicine,2022-08-06,713.33,963.94
SKU00120,Health & Wellness,First Aid,2022-05-24,275.41,492.32
SKU00121,Dairy & Bakery,Cheese,2022-07-17,124.65,195.28
SKU00122,Grocery,Cooking Oil,2024-10-21,114.13,159.98
SKU00123,Beverages,Juices,2022-10-01,75.0,99.13
SKU00124,Stationery & Office,Writing Instruments,2025-11-03,271.63,345.68
SKU00125,Home Care,Air Fresheners,2023-05-06,338.32,477.75
SKU00126,Home Care,Dishwashing,2022-02-28,168.71,253.44
SKU00127,Home Care,Dishwashing,2023-08-02,126.42,223.69
SKU00128,Apparel & Footwear,Footwear,2022-09-01,459.21,741.97
SKU00129,Grocery,Cooking Oil,2022-09-03,169.57,217.18
SKU00130,Grocery,Pulses & Lentils,2025-08-06,251.98,362.18
SKU00131,Dairy & Bakery,Eggs,2022-12-06,75.8,119.24
SKU00132,Home Care,Air Fresheners,2022-05-08,281.04,459.06
SKU00133,Electronics & Accessories,Small Appliances,2023-10-21,996.57,1722.93
SKU00134,Home Care,Air Fresheners,2022-08-21,147.48,199.86
SKU00135,Home Care,Pest Control,2022-09-12,125.08,191.52
SKU00136,Stationery & Office,Writing Instruments,2022-07-18,390.01,497.37
SKU00137,Beverages,Juices,2023-01-18,96.51,145.43
SKU00138,Frozen Foods,Ready Meals,2025-06-05,504.37,668.4
SKU00139,Frozen Foods,Frozen Meat,2023-04-09,460.7,790.82
SKU00140,Home Care,Dishwashing,2022-03-17,87.05,148.11
SKU00141,Apparel & Footwear,Footwear,,1609.4,2602.93
SKU00142,Dairy & Bakery,Yogurt,2023-06-26,80.72,135.03
SKU00143,Stationery & Office,Writing Instruments,2022-10-16,50.83,64.0
SKU00144,Dairy & Bakery,Eggs,2022-07-20,140.47,186.78
SKU00145,Frozen Foods,Ready Meals,2023-12-22,304.7,478.26
SKU00146,Frozen Foods,Ready Meals,2022-07-15,478.32,703.46
SKU00147,Home & Kitchen,Cookware,2022-08-12,532.16,778.79
SKU00148,Home Care,Air Fresheners,2023-06-18,250.74,357.28
SKU00149,Dairy & Bakery,Cheese,2024-01-08,86.21,149.69
SKU00150,Grocery,Sugar & Salt,2024-04-30,169.6,266.14
SKU00151,Personal Care,Skin Care,2022-06-21,115.36,201.86
SKU00152,Apparel & Footwear,Footwear,2022-01-08,1427.21,1830.31
SKU00153,Grocery,Pulses & Lentils,2023-06-15,119.92,184.25
SKU00154,Home & Kitchen,Storage & Containers,2025-05-30,1667.95,2279.38
SKU00155,Frozen Foods,Frozen Vegetables,2023-12-21,457.03,585.78
SKU00156,Beverages,Coffee,2022-07-25,103.08,164.3
SKU00157,Dairy & Bakery,Butter & Ghee,2022-11-01,67.93,118.76
SKU00158,Frozen Foods,Ice Cream,2022-04-20,309.41,487.98
SKU00159,Dairy & Bakery,Milk,2022-12-18,165.75,230.93
SKU00160,Beverages,Bottled Water,2022-03-25,136.38,202.06
SKU00161,Health & Wellness,OTC Medicine,2022-07-09,285.38,501.77
SKU00162,Electronics & Accessories,Small Appliances,2022-03-22,1577.93,2780.26
SKU00163,Beverages,Juices,2023-05-28,109.94,151.67
SKU00164,Dairy & Bakery,Butter & Ghee,2022-12-19,83.68,113.99
SKU00165,Snacks & Confectionery,Chocolates,2022-09-13,49.54,85.81
SKU00166,Health & Wellness,First Aid,2022-01-19,621.98,830.77
SKU00167,Electronics & Accessories,Batteries,,1652.67,2596.95
SKU00168,Electronics & Accessories,Mobile Accessories,2023-07-25,1266.98,2234.32
SKU00169,Stationery & Office,Office Supplies,2022-01-17,60.41,95.37
SKU00170,Apparel & Footwear,Men's Wear,,909.39,1241.29
SKU00171,Dairy & Bakery,Cheese,2022-04-08,181.29,253.93
SKU00172,Beverages,Energy Drinks,2022-11-30,75.2,112.18
SKU00173,Health & Wellness,OTC Medicine,2024-11-16,679.85,1096.68
SKU00174,Home & Kitchen,Storage & Containers,2022-05-09,418.03,638.72
SKU00175,Stationery & Office,Office Supplies,2023-02-04,117.7,182.36
SKU00176,Snacks & Confectionery,Biscuits & Cookies,2024-06-21,29.19,45.08
SKU00177,Snacks & Confectionery,Chocolates,2022-02-15,77.09,114.65
SKU00178,Grocery,Pulses & Lentils,2023-07-10,350.05,527.32
SKU00179,Beverages,Juices,2022-08-25,49.13,85.36
SKU00180,Frozen Foods,Frozen Meat,2023-02-14,479.81,770.72
SKU00181,Frozen Foods,Ice Cream,,183.39,314.95
SKU00182,Personal Care,Men's Grooming,2023-03-13,125.21,178.74
SKU00183,Dairy & Bakery,Butter & Ghee,2022-03-29,165.28,252.07
SKU00184,Apparel & Footwear,Footwear,,645.86,899.55
SKU00185,Home Care,Air Fresheners,2025-09-29,277.22,484.73
SKU00186,Apparel & Footwear,Men's Wear,,1185.19,1862.84
SKU00187,Stationery & Office,Office Supplies,2024-01-07,150.22,252.44
SKU00188,Dairy & Bakery,Bread,2023-04-11,115.41,201.41
SKU00189,Snacks & Confectionery,Biscuits & Cookies,,51.51,69.3
SKU00190,Stationery & Office,Writing Instruments,2022-02-06,84.74,145.42
SKU00191,Health & Wellness,Vitamins & Supplements,2022-05-25,350.82,590.87
SKU00192,Dairy & Bakery,Bread,2022-06-14,106.38,165.78
SKU00193,Health & Wellness,First Aid,2023-08-16,192.29,308.55
SKU00194,Frozen Foods,Frozen Meat,,409.27,524.73
SKU00195,Home & Kitchen,Cookware,2022-11-17,908.49,1139.65
SKU00196,Dairy & Bakery,Butter & Ghee,2023-01-15,59.65,90.98
SKU00197,Stationery & Office,Writing Instruments,2022-05-25,198.47,330.62
SKU00198,Stationery & Office,Writing Instruments,2023-07-05,229.65,340.46
SKU00199,Snacks & Confectionery,Biscuits & Cookies,2023-06-11,41.84,62.08
SKU00200,Beverages,Tea,2022-12-08,89.97,134.99
SKU00201,Frozen Foods,Frozen Vegetables,2022-01-01,470.89,848.32
SKU00202,Grocery,Flour & Atta,2024-08-18,203.65,349.86
SKU00203,Dairy & Bakery,Milk,2022-06-18,106.33,181.68
SKU00204,Home Care,Surface Cleaners,,391.19,613.21
SKU00205,Stationery & Office,Office Supplies,2023-03-02,154.95,222.89
SKU00206,Stationery & Office,Office Supplies,2022-09-19,167.56,217.76
SKU00207,Beverages,Coffee,2022-06-25,59.04,97.45
SKU00208,Home & Kitchen,Home Decor,2022-05-04,863.83,1162.94
SKU00209,Beverages,Soft Drinks,2023-08-08,53.76,88.63
SKU00210,Electronics & Accessories,Batteries,2023-03-23,1985.27,3556.85
SKU00211,Home & Kitchen,Storage & Containers,2022-05-17,847.23,1189.16
SKU00212,Home & Kitchen,Home Decor,2024-01-21,210.66,348.98
SKU00213,Snacks & Confectionery,Chocolates,2023-12-25,90.28,115.76
SKU00214,Home & Kitchen,Home Decor,2023-02-27,307.22,392.18
SKU00215,Beverages,Juices,2024-05-05,58.8,102.03
SKU00216,Frozen Foods,Frozen Vegetables,2022-04-28,406.14,678.4
SKU00217,Home Care,Laundry,2022-04-16,174.95,290.33
SKU00218,Dairy & Bakery,Bread,2025-12-09,178.86,229.94
SKU00219,Grocery,Flour & Atta,2022-11-25,80.3,141.0
SKU00220,Apparel & Footwear,Women's Wear,,540.87,733.09
SKU00221,Personal Care,Bath & Body,2023-09-06,359.57,578.16
SKU00222,Health & Wellness,OTC Medicine,2023-10-31,342.42,492.26
SKU00223,Personal Care,Hair Care,,129.22,217.42
SKU00224,Personal Care,Hair Care,2023-10-14,121.66,161.86
SKU00225,Home & Kitchen,Home Decor,2023-10-07,885.33,1233.58
SKU00226,Beverages,Coffee,2022-10-24,41.25,74.28
SKU00227,Electronics & Accessories,Mobile Accessories,2025-07-23,1737.2,2851.22
SKU00228,Electronics & Accessories,Mobile Accessories,2024-06-08,1970.47,2956.05
SKU00229,Personal Care,Oral Care,2022-09-04,288.02,421.82
SKU00230,Dairy & Bakery,Bread,2025-02-08,88.21,116.56
SKU00231,Grocery,Rice & Grains,2022-03-02,99.59,153.98
SKU00232,Stationery & Office,Office Supplies,2022-12-09,75.15,96.13
SKU00233,Stationery & Office,Writing Instruments,2025-06-17,72.32,120.84
SKU00234,Snacks & Confectionery,Biscuits & Cookies,2022-09-07,76.44,100.0
SKU00235,Grocery,Rice & Grains,,123.95,159.72
SKU00236,Beverages,Energy Drinks,2023-03-10,73.66,104.24
SKU00237,Grocery,Pulses & Lentils,2023-03-16,75.42,95.24
SKU00238,Apparel & Footwear,Footwear,2022-07-27,1152.63,1766.09
SKU00239,Home & Kitchen,Storage & Containers,2023-04-01,782.62,1079.74
SKU00240,Beverages,Energy Drinks,,79.06,143.08
SKU00241,Electronics & Accessories,Mobile Accessories,2022-06-13,1058.3,1710.6
SKU00242,Snacks & Confectionery,Chips & Crisps,2022-09-27,151.11,218.49
SKU00243,Personal Care,Men's Grooming,2022-11-07,372.11,483.9
SKU00244,Health & Wellness,OTC Medicine,,591.29,750.15
SKU00245,Electronics & Accessories,Batteries,2024-01-20,2796.99,4025.26
SKU00246,Home & Kitchen,Cookware,2024-05-01,780.18,1021.22
SKU00247,Grocery,Sugar & Salt,2025-11-11,180.2,240.33
SKU00248,Snacks & Confectionery,Biscuits & Cookies,2022-09-11,41.86,56.31
SKU00249,Dairy & Bakery,Yogurt,2022-08-18,140.64,243.38
SKU00250,Dairy & Bakery,Yogurt,2022-01-11,215.9,322.41
SKU00251,Stationery & Office,Office Supplies,,96.59,143.83
SKU00252,Apparel & Footwear,Kids Wear,2023-03-06,1498.23,2006.03
SKU00253,Dairy & Bakery,Eggs,2024-12-23,194.6,279.38
SKU00254,Stationery & Office,Writing Instruments,2022-07-29,79.69,105.55
SKU00255,Home Care,Laundry,2022-01-18,125.36,158.86
SKU00256,Frozen Foods,Frozen Meat,2022-04-14,531.77,772.17
SKU00257,Home Care,Air Fresheners,2022-08-29,230.17,307.75
SKU00258,Beverages,Coffee,2022-01-15,63.48,91.98
SKU00259,Stationery & Office,Writing Instruments,2022-12-16,176.24,249.48
SKU00260,Grocery,Spices & Seasoning,2022-10-06,93.49,139.74
SKU00261,Snacks & Confectionery,Chips & Crisps,2023-08-12,49.12,62.18
SKU00262,Snacks & Confectionery,Chocolates,2022-11-22,128.94,170.92
SKU00263,Dairy & Bakery,Bread,2022-04-19,327.3,443.51
SKU00264,Beverages,Energy Drinks,2022-01-11,153.51,242.74
SKU00265,Grocery,Pulses & Lentils,2025-10-30,165.31,246.23
SKU00266,Electronics & Accessories,Mobile Accessories,2023-12-13,3307.5,4319.42
SKU00267,Stationery & Office,Writing Instruments,2022-03-19,99.23,126.55
SKU00268,Beverages,Juices,,132.62,165.9
SKU00269,Dairy & Bakery,Bread,2023-02-16,125.25,170.73
SKU00270,Frozen Foods,Ice Cream,2022-07-08,382.14,521.54
SKU00271,Stationery & Office,Office Supplies,2024-02-17,40.36,70.38
SKU00272,Electronics & Accessories,Small Appliances,2023-01-15,905.59,1227.28
SKU00273,Apparel & Footwear,Men's Wear,2022-06-16,256.73,403.23
SKU00274,Frozen Foods,Frozen Vegetables,2023-08-04,817.34,1066.8
SKU00275,Home Care,Dishwashing,2024-06-29,104.09,188.3
SKU00276,Snacks & Confectionery,Biscuits & Cookies,2023-11-27,39.39,50.27
SKU00277,Home & Kitchen,Home Decor,2022-06-12,392.95,585.64
SKU00278,Apparel & Footwear,Men's Wear,2022-05-10,1052.14,1807.84
SKU00279,Grocery,Rice & Grains,2023-11-29,76.89,109.8
SKU00280,Electronics & Accessories,Small Appliances,2022-10-25,339.55,469.64
SKU00281,Beverages,Energy Drinks,2023-03-17,131.16,176.07
SKU00282,Electronics & Accessories,Mobile Accessories,2023-06-05,2245.91,3095.83
SKU00283,Apparel & Footwear,Women's Wear,2022-10-02,385.56,560.13
SKU00284,Beverages,Tea,2024-08-29,79.59,139.51
SKU00285,Home Care,Surface Cleaners,2022-01-24,387.2,505.67
SKU00286,Beverages,Energy Drinks,2022-01-04,51.29,64.45
SKU00287,Frozen Foods,Frozen Meat,2024-06-11,656.18,881.37
SKU00288,Stationery & Office,Notebooks,2022-12-20,60.9,109.0
SKU00289,Grocery,Cooking Oil,2022-10-04,398.55,539.37
SKU00290,Personal Care,Oral Care,,145.59,235.81
SKU00291,Stationery & Office,Writing Instruments,2022-04-13,150.55,190.44
SKU00292,Dairy & Bakery,Bread,2023-11-20,119.39,210.98
SKU00293,Beverages,Energy Drinks,2022-04-02,75.66,132.02
SKU00294,Home Care,Pest Control,2023-09-29,139.92,235.02
SKU00295,Frozen Foods,Frozen Meat,2024-01-29,758.06,1026.78
SKU00296,Health & Wellness,First Aid,2022-06-24,488.51,685.29
SKU00297,Dairy & Bakery,Eggs,2022-11-25,126.25,172.52
SKU00298,Stationery & Office,Writing Instruments,2022-03-06,244.57,383.06
SKU00299,Frozen Foods,Frozen Meat,2022-08-24,648.3,842.06
SKU00300,Dairy & Bakery,Cheese,2024-06-25,66.52,100.55
SKU00301,Stationery & Office,Notebooks,2024-04-11,184.91,316.89
SKU00302,Stationery & Office,Office Supplies,,222.49,299.91
SKU00303,Home Care,Pest Control,2025-05-17,175.61,257.35
SKU00304,Grocery,Spices & Seasoning,2022-01-01,263.93,377.93
SKU00305,Health & Wellness,Vitamins & Supplements,,318.69,493.11
SKU00306,Frozen Foods,Frozen Vegetables,2024-06-05,218.93,300.86
SKU00307,Beverages,Soft Drinks,2023-05-14,117.27,209.82
SKU00308,Health & Wellness,First Aid,2023-05-19,229.66,341.35
SKU00309,Home & Kitchen,Storage & Containers,2022-03-19,1037.48,1579.63
SKU00310,Beverages,Energy Drinks,2022-06-21,57.1,77.52
SKU00311,Electronics & Accessories,Small Appliances,2022-03-24,1415.33,2295.88
SKU00312,Beverages,Soft Drinks,2022-08-13,37.45,61.56
SKU00313,Electronics & Accessories,Small Appliances,2022-04-21,553.58,878.76
SKU00314,Home Care,Dishwashing,2022-12-04,272.86,407.17
SKU00315,Grocery,Pulses & Lentils,2022-12-27,231.67,384.54
SKU00316,Stationery & Office,Writing Instruments,2022-11-07,90.97,126.16
SKU00317,Beverages,Soft Drinks,2023-01-26,69.99,110.59
SKU00318,Health & Wellness,First Aid,,541.68,826.51
SKU00319,Snacks & Confectionery,Chocolates,2022-03-18,88.97,129.05
SKU00320,Stationery & Office,Notebooks,2024-09-18,88.04,136.66
SKU00321,Electronics & Accessories,Batteries,2023-03-19,534.34,736.71
SKU00322,Apparel & Footwear,Women's Wear,2022-08-09,256.34,358.99
SKU00323,Home Care,Air Fresheners,2023-06-01,200.19,270.82
SKU00324,Home Care,Laundry,2022-10-14,339.2,498.27
SKU00325,Health & Wellness,Vitamins & Supplements,2023-04-07,405.33,631.5
SKU00326,Apparel & Footwear,Kids Wear,2023-04-22,805.15,1341.29
SKU00327,Home & Kitchen,Cookware,,306.7,465.24
SKU00328,Grocery,Spices & Seasoning,2022-01-09,157.47,204.97
SKU00329,Health & Wellness,Vitamins & Supplements,2024-01-09,695.33,1198.32
SKU00330,Beverages,Tea,2023-11-09,52.73,87.32
SKU00331,Dairy & Bakery,Yogurt,,107.74,150.41
SKU00332,Apparel & Footwear,Men's Wear,2024-04-09,1158.58,1670.05
SKU00333,Dairy & Bakery,Cheese,2022-08-23,47.93,61.52
SKU00334,Apparel & Footwear,Footwear,2022-01-16,823.32,1477.45
SKU00335,Home Care,Surface Cleaners,2022-07-28,206.5,268.31
SKU00336,Snacks & Confectionery,Chips & Crisps,2023-03-16,38.82,53.08
SKU00337,Personal Care,Hair Care,2024-03-14,279.75,376.07
SKU00338,Frozen Foods,Ready Meals,,477.83,741.21
SKU00339,Apparel & Footwear,Footwear,2022-01-08,1181.23,1884.44
SKU00340,Health & Wellness,First Aid,2022-01-28,129.91,234.66
SKU00341,Stationery & Office,Writing Instruments,2024-01-27,71.43,95.64
SKU00342,Home & Kitchen,Home Decor,2023-10-13,135.24,229.07
SKU00343,Apparel & Footwear,Men's Wear,2022-12-07,1573.14,2593.67
SKU00344,Health & Wellness,Vitamins & Supplements,2024-12-06,376.87,608.7
SKU00345,Dairy & Bakery,Eggs,2023-04-04,222.49,289.92
SKU00346,Personal Care,Skin Care,2025-09-03,235.83,379.17
SKU00347,Beverages,Coffee,2023-03-13,101.39,154.46
SKU00348,Personal Care,Oral Care,2023-12-31,505.68,686.28
SKU00349,Stationery & Office,Office Supplies,2022-02-01,185.86,240.42
SKU00350,Home Care,Laundry,2022-03-31,368.24,492.43
SKU00351,Beverages,Energy Drinks,2022-11-20,77.77,113.72
SKU00352,Health & Wellness,Vitamins & Supplements,2023-08-02,449.34,816.17
SKU00353,Stationery & Office,Notebooks,2022-08-15,41.01,69.57
SKU00354,Home & Kitchen,Home Decor,2022-06-07,680.1,1108.74
SKU00355,Dairy & Bakery,Bread,2022-01-23,94.23,144.21
SKU00356,Home Care,Pest Control,2024-08-16,214.65,335.1
SKU00357,Frozen Foods,Frozen Vegetables,2022-12-14,268.1,395.07
SKU00358,Snacks & Confectionery,Chips & Crisps,2025-01-10,108.39,165.98
SKU00359,Dairy & Bakery,Bread,2022-08-06,154.34,210.99
SKU00360,Snacks & Confectionery,Candy,2022-01-08,48.56,86.25
SKU00361,Stationery & Office,Writing Instruments,2023-10-19,119.9,150.12
SKU00362,Electronics & Accessories,Small Appliances,2023-07-30,1352.89,1778.33
SKU00363,Home & Kitchen,Home Decor,2022-11-30,699.49,1103.75
SKU00364,Apparel & Footwear,Footwear,2022-02-25,1699.82,2618.33
SKU00365,Stationery & Office,Writing Instruments,2023-02-04,61.69,78.0
SKU00366,Beverages,Coffee,2022-06-26,154.68,197.31
SKU00367,Home & Kitchen,Storage & Containers,2022-09-07,1201.33,1853.07
SKU00368,Grocery,Spices & Seasoning,2022-02-07,144.56,255.9
SKU00369,Home Care,Surface Cleaners,2022-03-10,294.03,368.93
SKU00370,Health & Wellness,First Aid,2024-02-18,485.77,680.89
SKU00371,Personal Care,Oral Care,2025-02-27,373.02,515.75
SKU00372,Beverages,Tea,2022-10-14,27.51,44.47
SKU00373,Snacks & Confectionery,Namkeen,2022-02-01,63.63,84.32
SKU00374,Apparel & Footwear,Footwear,2024-07-17,820.33,1189.97
SKU00375,Dairy & Bakery,Bread,2022-04-27,76.77,115.0
SKU00376,Dairy & Bakery,Milk,2022-01-16,152.54,207.45
SKU00377,Stationery & Office,Writing Instruments,2022-10-11,134.63,209.39
SKU00378,Beverages,Juices,2022-06-29,147.56,224.48
SKU00379,Home & Kitchen,Cookware,2023-06-08,713.62,1000.76
SKU00380,Stationery & Office,Notebooks,,208.08,293.11
SKU00381,Health & Wellness,First Aid,,697.47,879.76
SKU00382,Beverages,Energy Drinks,2023-09-09,72.22,104.56
SKU00383,Beverages,Tea,2022-01-02,78.59,124.69
SKU00384,Dairy & Bakery,Butter & Ghee,2022-02-10,118.68,190.85
SKU00385,Frozen Foods,Frozen Vegetables,2022-12-03,260.01,380.41
SKU00386,Beverages,Coffee,2022-08-28,80.88,139.48
SKU00387,Home Care,Laundry,2022-06-10,441.19,632.96
SKU00388,Beverages,Energy Drinks,2022-07-11,41.2,63.62
SKU00389,Frozen Foods,Ready Meals,2022-07-27,411.18,644.49
SKU00390,Grocery,Sugar & Salt,2022-02-20,261.75,437.62
SKU00391,Electronics & Accessories,Mobile Accessories,2022-05-27,813.9,1207.83
SKU00392,Grocery,Rice & Grains,2022-12-12,277.09,495.32
