date,sku_id,units_sold,revenue,unit_price,promo_flag,week,month,season,is_holiday,promo_event,category,subcategory,launch_date,unit_cost,list_price
2022-01-02,SKU03377,1,169.11,169.11,,52,1,Winter,,,Beverages,Tea,2022-01-02,125.24,169.11
2022-01-02,SKU03666,2,250.92,125.46,,52,1,Winter,,,Grocery,Cooking Oil,2022-01-02,75.82,125.46
2022-01-02,SKU03702,1,473.65,473.65,,52,1,Winter,,,Grocery,Cooking Oil,2022-01-02,320.92,473.65
2022-01-02,SKU03743,1,253.24,253.24,,52,1,Winter,,,Home Care,Air Fresheners,2022-01-02,162.98,253.24
2022-01-02,SKU03772,2,491.92,245.96,,52,1,Winter,,,Health & Wellness,First Aid,2022-01-02,188.41,245.96
2022-01-02,SKU03870,1,301.78,301.78,,52,1,Winter,,,Electronics & Accessories,Mobile Accessories,2022-01-02,227.63,301.78
2022-01-02,SKU04045,1,615.16,615.16,,52,1,Winter,,,Frozen Foods,Frozen Vegetables,2022-01-02,357.06,615.16
2022-01-02,SKU04321,1,961.3,961.3,,52,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-02,SKU04596,2,671.1,335.55,,52,1,Winter,,,Dairy & Bakery,Eggs,2022-01-02,242.79,335.55
2022-01-02,SKU04749,5,7848.45,1569.69,,52,1,Winter,,,Apparel & Footwear,Kids Wear,2022-01-02,947.49,1569.69
2022-01-02,SKU04756,2,1330.64,665.32,,52,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-02,496.99,665.32
2022-01-03,SKU00753,2,360.04,180.02,,1,1,Winter,,,Snacks & Confectionery,Chips & Crisps,2022-01-03,130.21,180.02
2022-01-03,SKU00896,1,194.43,194.43,,1,1,Winter,,,Beverages,Bottled Water,2022-01-03,140.2,194.43
2022-01-03,SKU01315,3,5086.05,1695.3499999999997,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-03,1204.49,1695.35
2022-01-03,SKU02912,4,624.0,156.0,,1,1,Winter,,,Dairy & Bakery,Bread,2022-01-03,114.46,156.0
2022-01-03,SKU03038,1,204.05,204.05,,1,1,Winter,,,Personal Care,Skin Care,2022-01-03,147.66,204.05
2022-01-03,SKU03727,1,1660.93,1660.93,,1,1,Winter,,,Electronics & Accessories,Mobile Accessories,2022-01-03,1291.18,1660.93
2022-01-03,SKU03840,1,255.12,255.12,,1,1,Winter,,,Home Care,Dishwashing,2022-01-03,177.23,255.12
2022-01-03,SKU04166,1,263.67,263.67,,1,1,Winter,,,Dairy & Bakery,Milk,2022-01-03,154.85,263.67
2022-01-03,SKU04197,2,717.9,358.95,,1,1,Winter,,,Grocery,Sugar & Salt,2022-01-03,281.31,358.95
2022-01-03,SKU04321,2,1922.6,961.3,,1,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-03,SKU04380,2,573.86,286.93,,1,1,Winter,,,Frozen Foods,Frozen Meat,2022-01-03,205.97,286.93
2022-01-03,SKU04453,3,796.74,265.58,,1,1,Winter,,,Dairy & Bakery,Milk,2022-01-03,209.09,265.58
2022-01-03,SKU04596,1,335.55,335.55,,1,1,Winter,,,Dairy & Bakery,Eggs,2022-01-02,242.79,335.55
2022-01-04,SKU00286,1,64.45,64.45,,1,1,Winter,,,Beverages,Energy Drinks,2022-01-04,51.29,64.45
2022-01-04,SKU00432,2,3955.3,1977.65,,1,1,Winter,,,Home & Kitchen,Home Decor,2022-01-04,1128.66,1977.65
2022-01-04,SKU01494,3,3410.19,1136.73,,1,1,Winter,,,Health & Wellness,First Aid,2022-01-04,646.36,1136.73
2022-01-04,SKU02099,2,320.3,160.15,,1,1,Winter,,,Beverages,Bottled Water,2022-01-04,103.7,160.15
2022-01-04,SKU02156,2,369.58,184.79,,1,1,Winter,,,Beverages,Juices,2022-01-04,111.66,184.79
2022-01-04,SKU02225,1,1087.98,1087.98,,1,1,Winter,,,Electronics & Accessories,Batteries,2022-01-04,838.38,1087.98
2022-01-04,SKU03287,2,321.02,160.51,,1,1,Winter,,,Dairy & Bakery,Cheese,2022-01-04,128.22,160.51
2022-01-04,SKU04447,5,5953.2,1190.64,,1,1,Winter,,,Home & Kitchen,Home Decor,2022-01-04,695.87,1190.64
2022-01-05,SKU00538,2,2202.14,1101.07,,1,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-02,799.48,1101.07
2022-01-05,SKU01317,4,2579.32,644.83,,1,1,Winter,,,Health & Wellness,First Aid,2022-01-05,438.36,644.83
2022-01-05,SKU01610,5,2898.1,579.62,,1,1,Winter,,,Frozen Foods,Ready Meals,2022-01-05,399.28,579.62
2022-01-05,SKU02609,2,783.7,391.85,,1,1,Winter,,,Personal Care,Men's Grooming,2022-01-05,256.26,391.85
2022-01-05,SKU02669,1,67.5,67.5,,1,1,Winter,,,Beverages,Coffee,2022-01-05,39.26,67.5
2022-01-05,SKU02978,2,3623.92,1811.96,,1,1,Winter,,,Home & Kitchen,Storage & Containers,2022-01-05,1241.29,1811.96
2022-01-05,SKU03680,1,169.14,169.14,,1,1,Winter,,,Beverages,Juices,2022-01-05,114.18,169.14
2022-01-05,SKU03840,1,255.12,255.12,,1,1,Winter,,,Home Care,Dishwashing,2022-01-03,177.23,255.12
2022-01-05,SKU04206,4,2668.72,667.18,,1,1,Winter,,,Apparel & Footwear,Men's Wear,2022-01-05,446.75,667.18
2022-01-05,SKU04280,1,318.92,318.92,,1,1,Winter,,,Stationery & Office,Writing Instruments,2022-01-05,184.83,318.92
2022-01-05,SKU04295,1,2337.99,2337.99,,1,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-05,1410.81,2337.99
2022-01-05,SKU04980,1,1147.16,1147.16,,1,1,Winter,,,Health & Wellness,OTC Medicine,2022-01-05,785.92,1147.16
2022-01-06,SKU00500,3,3793.74,1264.58,,1,1,Winter,,,Home & Kitchen,Home Decor,2022-01-06,781.21,1264.58
2022-01-06,SKU01009,1,223.42,223.42,,1,1,Winter,,,Personal Care,Bath & Body,2022-01-06,155.57,223.42
2022-01-06,SKU01165,2,1993.04,996.52,,1,1,Winter,,,Home & Kitchen,Home Decor,2022-01-06,715.04,996.52
2022-01-06,SKU01232,2,832.9,416.45,,1,1,Winter,,,Dairy & Bakery,Cheese,2022-01-06,272.8,416.45
2022-01-06,SKU01485,1,476.18,476.18,,1,1,Winter,,,Personal Care,Men's Grooming,2022-01-06,342.91,476.18
2022-01-06,SKU01949,1,1243.2,1243.2,,1,1,Winter,,,Apparel & Footwear,Men's Wear,2022-01-06,954.85,1243.2
2022-01-06,SKU02141,2,943.76,471.88,,1,1,Winter,,,Personal Care,Bath & Body,2022-01-06,351.16,471.88
2022-01-06,SKU02930,1,170.16,170.16,,1,1,Winter,,,Home Care,Pest Control,2022-01-01,133.92,170.16
2022-01-06,SKU03199,3,234.24,78.08,,1,1,Winter,,,Beverages,Coffee,2022-01-02,57.97,78.08
2022-01-06,SKU03344,2,1883.72,941.86,,1,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-06,737.04,941.86
2022-01-06,SKU03434,1,108.68,108.68,,1,1,Winter,,,Dairy & Bakery,Milk,2022-01-06,66.07,108.68
2022-01-06,SKU03943,2,432.38,216.19,,1,1,Winter,,,Personal Care,Bath & Body,2022-01-06,124.71,216.19
2022-01-06,SKU04105,2,929.56,464.78,,1,1,Winter,,,Personal Care,Men's Grooming,2022-01-06,266.54,464.78
2022-01-06,SKU04159,2,4376.72,2188.36,,1,1,Winter,,,Apparel & Footwear,Kids Wear,2022-01-01,1459.6,2188.36
2022-01-06,SKU04166,1,263.67,263.67,,1,1,Winter,,,Dairy & Bakery,Milk,2022-01-03,154.85,263.67
2022-01-06,SKU04373,3,3101.07,1033.69,,1,1,Winter,,,Frozen Foods,Ready Meals,2022-01-06,790.7,1033.69
2022-01-06,SKU04524,1,1741.19,1741.19,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-06,1147.23,1741.19
2022-01-06,SKU04596,1,335.55,335.55,,1,1,Winter,,,Dairy & Bakery,Eggs,2022-01-02,242.79,335.55
2022-01-07,SKU00086,1,2786.01,2786.01,,1,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-07,2220.28,2786.01
2022-01-07,SKU00604,2,159.04,79.52,,1,1,Winter,,,Stationery & Office,Notebooks,2022-01-07,52.43,79.52
2022-01-07,SKU00793,4,4200.68,1050.17,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-07,742.55,1050.17
2022-01-07,SKU01555,3,331.08,110.36,,1,1,Winter,,,Stationery & Office,Office Supplies,2022-01-07,77.96,110.36
2022-01-07,SKU01613,3,528.96,176.32000000000002,,1,1,Winter,,,Grocery,Rice & Grains,2022-01-07,112.34,176.32
2022-01-07,SKU01775,1,204.15,204.15,,1,1,Winter,,,Personal Care,Hair Care,2022-01-07,146.54,204.15
2022-01-07,SKU02058,1,521.75,521.75,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-07,373.64,521.75
2022-01-07,SKU02769,1,725.22,725.22,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-07,489.23,725.22
2022-01-07,SKU02836,2,2289.54,1144.77,,1,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-07,894.75,1144.77
2022-01-07,SKU03025,1,396.16,396.16,,1,1,Winter,,,Stationery & Office,Notebooks,2022-01-07,245.43,396.16
2022-01-07,SKU03215,1,169.43,169.43,,1,1,Winter,,,Beverages,Energy Drinks,2022-01-07,102.27,169.43
2022-01-07,SKU03278,2,3238.4,1619.2,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-07,1026.41,1619.2
2022-01-07,SKU03532,3,283.65,94.55,,1,1,Winter,,,Grocery,Rice & Grains,2022-01-07,61.02,94.55
2022-01-07,SKU04016,1,1492.65,1492.65,,1,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-07,908.98,1492.65
2022-01-07,SKU04242,1,1092.68,1092.68,,1,1,Winter,,,Apparel & Footwear,Kids Wear,2022-01-07,728.07,1092.68
2022-01-07,SKU04333,1,777.72,777.72,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-07,446.08,777.72
2022-01-07,SKU04548,1,139.81,139.81,,1,1,Winter,,,Beverages,Soft Drinks,2022-01-07,79.17,139.81
2022-01-08,SKU00152,1,1830.31,1830.31,,1,1,Winter,,,Apparel & Footwear,Footwear,2022-01-08,1427.21,1830.31
2022-01-08,SKU00339,1,1884.44,1884.44,,1,1,Winter,,,Apparel & Footwear,Footwear,2022-01-08,1181.23,1884.44
2022-01-08,SKU00360,1,86.25,86.25,,1,1,Winter,,,Snacks & Confectionery,Candy,2022-01-08,48.56,86.25
2022-01-08,SKU00798,1,138.98,138.98,,1,1,Winter,,,Beverages,Energy Drinks,2022-01-08,97.2,138.98
2022-01-08,SKU01258,5,10733.85,2146.77,,1,1,Winter,,,Home & Kitchen,Storage & Containers,2022-01-08,1580.01,2146.77
2022-01-08,SKU01371,1,1277.61,1277.61,,1,1,Winter,,,Home & Kitchen,Cookware,2022-01-08,907.68,1277.61
2022-01-08,SKU01530,3,887.73,295.91,,1,1,Winter,,,Frozen Foods,Ice Cream,2022-01-08,230.69,295.91
2022-01-08,SKU01983,2,1061.84,530.92,,1,1,Winter,,,Frozen Foods,Ready Meals,2022-01-08,410.54,530.92
2022-01-08,SKU04032,1,203.7,203.7,,1,1,Winter,,,Personal Care,Hair Care,2022-01-08,144.36,203.7
2022-01-08,SKU04041,5,2879.65,575.93,,1,1,Winter,,,Home Care,Laundry,2022-01-08,357.52,575.93
2022-01-08,SKU04321,1,961.3,961.3,,1,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-08,SKU04621,3,810.6,270.2,,1,1,Winter,,,Dairy & Bakery,Milk,2022-01-08,202.76,270.2
2022-01-09,SKU00328,1,204.97,204.97,,1,1,Winter,,,Grocery,Spices & Seasoning,2022-01-09,157.47,204.97
2022-01-09,SKU00421,1,52.21,52.21,,1,1,Winter,,,Stationery & Office,Office Supplies,2022-01-09,32.48,52.21
2022-01-09,SKU00656,2,3741.4,1870.7,,1,1,Winter,,,Apparel & Footwear,Men's Wear,2022-01-09,1076.95,1870.7
2022-01-09,SKU01009,1,223.42,223.42,,1,1,Winter,,,Personal Care,Bath & Body,2022-01-06,155.57,223.42
2022-01-09,SKU02751,2,1296.14,648.07,,1,1,Winter,,,Frozen Foods,Frozen Vegetables,2022-01-09,412.59,648.07
2022-01-09,SKU02854,1,173.3,173.3,,1,1,Winter,,,Stationery & Office,Writing Instruments,2022-01-09,97.26,173.3
2022-01-09,SKU04019,1,496.8,496.8,,1,1,Winter,,,Frozen Foods,Ice Cream,2022-01-09,275.89,496.8
2022-01-09,SKU04271,4,4753.2,1188.3,,1,1,Winter,,,Electronics & Accessories,Batteries,2022-01-09,719.3,1188.3
2022-01-09,SKU04321,2,1922.6,961.3,,1,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-09,SKU04416,1,600.57,600.57,,1,1,Winter,,,Personal Care,Men's Grooming,2022-01-09,359.74,600.57
2022-01-09,SKU04869,1,1157.49,1157.49,,1,1,Winter,,,Apparel & Footwear,Footwear,2022-01-09,751.34,1157.49
2022-01-09,SKU04883,2,799.62,399.81,,1,1,Winter,,,Personal Care,Men's Grooming,2022-01-09,279.72,399.81
2022-01-10,SKU00509,3,714.69,238.23,,2,1,Winter,,,Grocery,Flour & Atta,2022-01-10,173.39,238.23
2022-01-10,SKU00830,1,290.01,290.01,,2,1,Winter,,,Frozen Foods,Ice Cream,2022-01-10,208.06,290.01
2022-01-10,SKU01281,2,363.02,181.51,,2,1,Winter,,,Home Care,Pest Control,2022-01-10,123.56,181.51
2022-01-10,SKU01421,2,497.18,248.59,,2,1,Winter,,,Grocery,Sugar & Salt,2022-01-10,146.75,248.59
2022-01-10,SKU02268,3,616.41,205.47,,2,1,Winter,,,Dairy & Bakery,Butter & Ghee,2022-01-10,127.5,205.47
2022-01-10,SKU02389,1,830.82,830.82,,2,1,Winter,,,Frozen Foods,Frozen Meat,2022-01-10,505.99,830.82
2022-01-10,SKU02449,3,413.49,137.83,,2,1,Winter,,,Stationery & Office,Notebooks,2022-01-10,99.61,137.83
2022-01-10,SKU02521,3,5370.3,1790.0999999999997,,2,1,Winter,,,Apparel & Footwear,Men's Wear,2022-01-10,1418.71,1790.1
2022-01-10,SKU03098,1,142.36,142.36,,2,1,Winter,,,Beverages,Bottled Water,2022-01-10,112.72,142.36
2022-01-10,SKU04191,1,106.7,106.7,,2,1,Winter,,,Grocery,Spices & Seasoning,2022-01-10,80.76,106.7
2022-01-11,SKU00250,1,322.41,322.41,,2,1,Winter,,,Dairy & Bakery,Yogurt,2022-01-11,215.9,322.41
2022-01-11,SKU00264,5,1213.7,242.74,,2,1,Winter,,,Beverages,Energy Drinks,2022-01-11,153.51,242.74
2022-01-11,SKU00742,3,7671.06,2557.02,,2,1,Winter,,,Electronics & Accessories,Batteries,2022-01-11,1438.67,2557.02
2022-01-11,SKU01290,4,346.48,86.62,,2,1,Winter,,,Stationery & Office,Notebooks,2022-01-11,62.8,86.62
2022-01-11,SKU01775,1,204.15,204.15,,2,1,Winter,,,Personal Care,Hair Care,2022-01-07,146.54,204.15
2022-01-11,SKU02340,1,234.67,234.67,,2,1,Winter,,,Personal Care,Skin Care,2022-01-11,179.48,234.67
2022-01-11,SKU02740,2,208.44,104.22,,2,1,Winter,,,Snacks & Confectionery,Chips & Crisps,2022-01-11,65.2,104.22
2022-01-11,SKU02873,4,1531.52,382.88,,2,1,Winter,,,Personal Care,Men's Grooming,2022-01-11,227.65,382.88
2022-01-11,SKU03030,1,108.63,108.63,,2,1,Winter,,,Snacks & Confectionery,Chips & Crisps,2022-01-11,63.46,108.63
2022-01-11,SKU03490,1,1217.06,1217.06,,2,1,Winter,,,Health & Wellness,First Aid,2022-01-11,819.17,1217.06
2022-01-11,SKU03610,2,925.88,462.94,,2,1,Winter,,,Frozen Foods,Frozen Vegetables,2022-01-11,310.94,462.94
2022-01-11,SKU04042,2,485.58,242.79,,2,1,Winter,,,Personal Care,Men's Grooming,2022-01-11,161.95,242.79
2022-01-11,SKU04140,1,331.4,331.4,,2,1,Winter,,,Dairy & Bakery,Cheese,2022-01-11,188.13,331.4
2022-01-11,SKU04264,2,5136.9,2568.45,,2,1,Winter,,,Electronics & Accessories,Mobile Accessories,2022-01-11,1852.52,2568.45
2022-01-11,SKU04321,5,4806.5,961.3,,2,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-11,SKU04596,1,335.55,335.55,,2,1,Winter,,,Dairy & Bakery,Eggs,2022-01-02,242.79,335.55
2022-01-11,SKU04666,3,354.21,118.07,,2,1,Winter,,,Dairy & Bakery,Milk,2022-01-11,65.01,118.07
2022-01-12,SKU00110,5,1434.35,286.87,,2,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-12,202.12,286.87
2022-01-12,SKU00845,1,670.83,670.83,,2,1,Winter,,,Frozen Foods,Frozen Vegetables,2022-01-12,490.52,670.83
2022-01-12,SKU00982,1,1475.54,1475.54,,2,1,Winter,,,Electronics & Accessories,Batteries,2022-01-12,907.97,1475.54
2022-01-12,SKU02022,1,1330.54,1330.54,,2,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-12,959.35,1330.54
2022-01-12,SKU02723,2,6085.9,3042.95,,2,1,Winter,,,Apparel & Footwear,Women's Wear,2022-01-12,2030.93,3042.95
2022-01-12,SKU02891,1,514.58,514.58,,2,1,Winter,,,Personal Care,Men's Grooming,2022-01-12,384.81,514.58
2022-01-12,SKU03330,2,2311.16,1155.58,,2,1,Winter,,,Apparel & Footwear,Kids Wear,2022-01-12,779.22,1155.58
2022-01-12,SKU03427,4,3228.48,807.12,,2,1,Winter,,,Health & Wellness,First Aid,2022-01-12,445.32,807.12
2022-01-12,SKU03540,1,203.99,203.99,,2,1,Winter,,,Snacks & Confectionery,Namkeen,2022-01-12,134.81,203.99
2022-01-12,SKU04016,1,1492.65,1492.65,,2,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-07,908.98,1492.65
2022-01-12,SKU04321,3,2883.8999999999996,961.2999999999998,,2,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-12,SKU04344,1,201.81,201.81,,2,1,Winter,,,Dairy & Bakery,Butter & Ghee,2022-01-12,133.74,201.81
2022-01-13,SKU00063,1,1612.54,1612.54,,2,1,Winter,,,Apparel & Footwear,Women's Wear,2022-01-13,1264.03,1612.54
2022-01-13,SKU01045,4,1805.16,451.29,,2,1,Winter,,,Frozen Foods,Frozen Meat,2022-01-01,256.12,451.29
2022-01-13,SKU01189,3,6899.4,2299.8,,2,1,Winter,,,Apparel & Footwear,Footwear,2022-01-13,1412.47,2299.8
2022-01-13,SKU01507,1,220.84,220.84,,2,1,Winter,,,Home & Kitchen,Home Decor,2022-01-13,153.68,220.84
2022-01-13,SKU01578,1,540.35,540.35,,2,1,Winter,,,Frozen Foods,Ice Cream,2022-01-13,338.5,540.35
2022-01-13,SKU01878,1,98.98,98.98,,2,1,Winter,,,Stationery & Office,Office Supplies,2022-01-13,55.79,98.98
2022-01-13,SKU02434,1,733.61,733.61,,2,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-13,509.2,733.61
2022-01-13,SKU02791,4,1940.0,485.0,,2,1,Winter,,,Electronics & Accessories,Batteries,2022-01-13,361.77,485.0
2022-01-13,SKU03196,1,837.3,837.3,,2,1,Winter,,,Apparel & Footwear,Footwear,2022-01-13,638.93,837.3
2022-01-13,SKU03292,1,164.03,164.03,,2,1,Winter,,,Grocery,Pulses & Lentils,2022-01-13,112.68,164.03
2022-01-13,SKU03341,1,163.6,163.6,,2,1,Winter,,,Beverages,Bottled Water,2022-01-13,117.91,163.6
2022-01-13,SKU04046,2,229.66,114.83,,2,1,Winter,,,Home Care,Laundry,2022-01-13,69.6,114.83
2022-01-13,SKU04318,2,411.0,205.5,,2,1,Winter,,,Stationery & Office,Notebooks,2022-01-13,147.89,205.5
2022-01-13,SKU04321,2,1922.6,961.3,,2,1,Winter,,,Personal Care,Hair Care,2022-01-01,658.32,961.3
2022-01-13,SKU04341,1,67.39,67.39,,2,1,Winter,,,Snacks & Confectionery,Biscuits & Cookies,2022-01-13,37.68,67.39
2022-01-13,SKU04508,2,751.1,375.55,,2,1,Winter,,,Frozen Foods,Ready Meals,2022-01-13,236.38,375.55
2022-01-13,SKU04786,4,4088.72,1022.18,,2,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-13,589.53,1022.18
2022-01-13,SKU04960,2,313.26,156.63,,2,1,Winter,,,Dairy & Bakery,Eggs,2022-01-13,122.89,156.63
2022-01-14,SKU00020,1,109.5,109.5,,2,1,Winter,,,Grocery,Rice & Grains,2022-01-02,69.58,109.5
2022-01-14,SKU00029,2,3974.36,1987.18,,2,1,Winter,,,Home & Kitchen,Cookware,2022-01-14,1222.63,1987.18
2022-01-14,SKU00412,3,1881.45,627.15,,2,1,Winter,,,Grocery,Rice & Grains,2022-01-14,453.71,627.15
2022-01-14,SKU00611,1,114.26,114.26,,2,1,Winter,,,Snacks & Confectionery,Chips & Crisps,2022-01-14,64.38,114.26
2022-01-14,SKU00857,3,1347.9,449.3,,2,1,Winter,,,Home & Kitchen,Cookware,2022-01-14,313.84,449.3
2022-01-14,SKU01870,3,678.48,226.16,,2,1,Winter,,,Home Care,Dishwashing,2022-01-14,158.21,226.16
2022-01-14,SKU01904,2,561.44,280.72,,2,1,Winter,,,Stationery & Office,Notebooks,2022-01-14,205.69,280.72
2022-01-14,SKU02323,1,422.47,422.47,,2,1,Winter,,,Personal Care,Hair Care,2022-01-14,317.23,422.47
2022-01-14,SKU02533,1,508.42,508.42,,2,1,Winter,,,Personal Care,Men's Grooming,2022-01-14,293.76,508.42
2022-01-14,SKU02849,3,219.9,73.3,,2,1,Winter,,,Home Care,Laundry,2022-01-14,44.71,73.3
2022-01-14,SKU03252,1,478.33,478.33,,2,1,Winter,,,Stationery & Office,Notebooks,2022-01-14,289.32,478.33
2022-01-14,SKU03425,4,809.92,202.48,,2,1,Winter,,,Stationery & Office,Office Supplies,2022-01-14,150.44,202.48
2022-01-14,SKU04063,1,471.49,471.49,,2,1,Winter,,,Personal Care,Men's Grooming,2022-01-14,269.42,471.49
2022-01-14,SKU04253,1,130.21,130.21,,2,1,Winter,,,Personal Care,Men's Grooming,2022-01-14,97.09,130.21
2022-01-14,SKU04305,2,1564.44,782.22,,2,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-14,522.72,782.22
2022-01-14,SKU04446,1,142.26,142.26,,2,1,Winter,,,Grocery,Cooking Oil,2022-01-14,88.25,142.26
2022-01-14,SKU04504,2,390.06,195.03,,2,1,Winter,,,Snacks & Confectionery,Chips & Crisps,2022-01-14,121.81,195.03
2022-01-14,SKU04596,3,1006.65,335.55,,2,1,Winter,,,Dairy & Bakery,Eggs,2022-01-02,242.79,335.55
2022-01-14,SKU04738,2,1536.78,768.39,,2,1,Winter,,,Frozen Foods,Ready Meals,2022-01-14,574.72,768.39
2022-01-14,SKU04939,3,519.96,173.32000000000002,,2,1,Winter,,,Beverages,Bottled Water,2022-01-14,118.52,173.32
2022-01-15,SKU00258,1,91.98,91.98,,2,1,Winter,,,Beverages,Coffee,2022-01-15,63.48,91.98
2022-01-15,SKU01182,1,2365.65,2365.65,,2,1,Winter,,,Electronics & Accessories,Small Appliances,2022-01-15,1669.45,2365.65
2022-01-15,SKU01220,1,872.06,872.06,,2,1,Winter,,,Health & Wellness,Vitamins & Supplements,2022-01-15,590.79,872.06
