sku_id,category,subcategory,decision,recommendation,priority,decision_reason,rupee_value_at_stake,stockout_risk,overstock_risk,coverage_weeks,demand_rate_weekly,forecast_rate_weekly,preferred_demand_source,data_quality_flag
SKU02471,Home & Kitchen,Home Decor,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,8240405.32,0.0,1.0,5286.666666666667,1.5,1.5,d3_forecast,low_history
SKU03740,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8225790.013333334,0.0,1.0,2746.125,2.6666666666666665,3.0,d3_forecast,insufficient_data
SKU04212,Apparel & Footwear,Footwear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,8028230.85,0.0,1.0,7339.0,1.0,0.0,d3_forecast,insufficient_data
SKU01582,Home & Kitchen,Cookware,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,8023160.17,0.0,1.0,6100.8,1.2,1.25,d3_forecast,low_history
SKU01674,Home & Kitchen,Cookware,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7942835.8100000005,0.0,1.0,2218.3333333333335,3.0,0.0,d3_forecast,insufficient_data
SKU00936,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7715749.300000001,0.0,1.0,2751.5,2.0,1.0,d3_forecast,insufficient_data
SKU04665,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7633008.54,0.0,1.0,4148.5,2.0,2.0,d3_forecast,insufficient_data
SKU02351,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7490835.63,0.0,1.0,7177.0,1.0,1.0,d3_forecast,insufficient_data
SKU01970,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7482571.46,0.0,1.0,5244.666666666667,1.5,1.0,d3_forecast,insufficient_data
SKU03235,Apparel & Footwear,Footwear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7468551.750000001,0.0,1.0,7099.0,1.0,0.0,d3_forecast,insufficient_data
SKU01592,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7319134.680000001,0.0,1.0,3403.0,2.0,2.5,d3_forecast,insufficient_data
SKU01986,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7280178.000000001,0.0,1.0,1339.2,3.3333333333333335,2.5,d3_forecast,insufficient_data
SKU03805,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7211735.5200000005,0.0,1.0,3749.5,2.0,0.0,d3_forecast,insufficient_data
SKU03073,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,7143409.25,0.0,1.0,6327.0,1.0,0.0,d3_forecast,insufficient_data
SKU00631,Home & Kitchen,Cookware,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6961075.2,0.0,1.0,2434.0,3.0,0.0,d3_forecast,insufficient_data
SKU00449,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6868003.52,0.0,1.0,3544.5,2.0,0.0,d3_forecast,insufficient_data
SKU03484,Apparel & Footwear,Footwear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6853723.18,0.0,1.0,7958.0,1.0,0.0,d3_forecast,insufficient_data
SKU03602,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6584619.3,0.0,1.0,2230.0,2.5,1.0,d3_forecast,insufficient_data
SKU01911,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6471487.850000001,0.0,1.0,3093.2,2.5,2.0,d3_forecast,insufficient_data
SKU01104,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6456987.45,0.0,1.0,3911.5,2.0,2.0,d3_forecast,insufficient_data
SKU02408,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6334204.89,0.0,1.0,3398.5,2.0,0.0,d3_forecast,insufficient_data
SKU03058,Apparel & Footwear,Women's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6304048.946666667,0.0,1.0,3090.75,2.6666666666666665,2.5,d3_forecast,insufficient_data
SKU04470,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6214388.55,0.0,1.0,2243.5,2.0,1.0,d3_forecast,insufficient_data
SKU02897,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6141401.92,0.0,1.0,1773.0,2.0,2.0,d3_forecast,insufficient_data
SKU01830,Apparel & Footwear,Women's Wear,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,6132340.816666666,0.0,1.0,4095.0,1.75,1.6666666666666667,d3_forecast,low_history
SKU03115,Frozen Foods,Frozen Vegetables,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6110044.3,0.0,1.0,10515.0,1.0,0.0,d3_forecast,insufficient_data
SKU01038,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6047683.2,0.0,1.0,5030.666666666667,1.5,1.0,d3_forecast,insufficient_data
SKU04491,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6011256.68,0.0,1.0,5841.333333333333,1.5,1.0,d3_forecast,insufficient_data
SKU02211,Health & Wellness,Vitamins & Supplements,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,6004479.2,0.0,1.0,3855.0,2.0,1.0,d3_forecast,insufficient_data
SKU03627,Frozen Foods,Ready Meals,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5939566.25,0.0,1.0,5387.333333333333,1.5,1.0,d3_forecast,insufficient_data
SKU04854,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5851297.52,0.0,1.0,5340.0,1.0,1.0,d3_forecast,insufficient_data
SKU04392,Health & Wellness,First Aid,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5726355.15,0.0,1.0,2477.0,3.0,0.0,d3_forecast,insufficient_data
SKU04388,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5688792.500000001,0.0,1.0,5379.0,1.0,0.0,d3_forecast,insufficient_data
SKU04152,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5679563.16,0.0,1.0,7386.0,1.0,0.0,d3_forecast,insufficient_data
SKU04831,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5394405.0,0.0,1.0,4016.5,2.0,2.0,d3_forecast,insufficient_data
SKU04887,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5393547.1,0.0,1.0,7218.0,1.0,0.0,d3_forecast,insufficient_data
SKU00502,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5314212.100000001,0.0,1.0,4397.0,2.0,3.0,d3_forecast,insufficient_data
SKU01179,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5235573.72,0.0,1.0,7122.0,1.0,0.0,d3_forecast,insufficient_data
SKU00052,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5218698.239999999,0.0,1.0,3599.3333333333335,1.5,2.0,d3_forecast,insufficient_data
SKU04879,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5174589.28,0.0,1.0,2510.0,2.0,3.0,d3_forecast,insufficient_data
SKU04996,Apparel & Footwear,Women's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5145060.13,0.0,1.0,5532.666666666667,1.5,2.0,d3_forecast,insufficient_data
SKU01605,Health & Wellness,First Aid,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5135774.5,0.0,1.0,2631.6666666666665,3.0,5.0,d3_forecast,insufficient_data
SKU01766,Frozen Foods,Ready Meals,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,5026477.92,0.0,1.0,7282.0,1.0,0.0,d3_forecast,insufficient_data
SKU00466,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4926813.0,0.0,1.0,6760.0,1.0,0.0,d3_forecast,insufficient_data
SKU02780,Health & Wellness,First Aid,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4924141.04,0.0,1.0,5766.666666666667,1.5,2.0,d3_forecast,insufficient_data
SKU02209,Health & Wellness,OTC Medicine,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,4887896.89,0.0,1.0,3095.6,2.6,2.5,d3_forecast,low_history
SKU04652,Health & Wellness,First Aid,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4855131.28,0.0,1.0,2193.3333333333335,3.0,0.0,d3_forecast,insufficient_data
SKU00706,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4810432.53,0.0,1.0,7183.0,1.0,0.0,d3_forecast,insufficient_data
SKU03504,Frozen Foods,Frozen Vegetables,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4757433.8,0.0,1.0,5509.333333333333,1.5,2.0,d3_forecast,insufficient_data
SKU01167,Electronics & Accessories,Small Appliances,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4730549.16,0.0,1.0,1151.0,4.0,4.5,d3_forecast,insufficient_data
SKU00354,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4515864.0,0.0,1.0,3324.0,2.0,0.0,d3_forecast,insufficient_data
SKU01567,Health & Wellness,First Aid,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4506140.25,0.0,1.0,3993.5,2.0,0.0,d3_forecast,insufficient_data
SKU02534,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4505850.36,0.0,1.0,6802.0,1.0,0.0,d3_forecast,insufficient_data
SKU02194,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4476806.2,0.0,1.0,5994.0,1.0,1.0,d3_forecast,insufficient_data
SKU03210,Frozen Foods,Ready Meals,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4397067.62,0.0,1.0,1812.6666666666667,3.0,0.0,d3_forecast,insufficient_data
SKU03803,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4242105.8100000005,0.0,1.0,4870.0,1.5,1.0,d3_forecast,insufficient_data
SKU00551,Frozen Foods,Ice Cream,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4199491.5200000005,0.0,1.0,3422.0,2.0,0.0,d3_forecast,insufficient_data
SKU03414,Apparel & Footwear,Women's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4148528.97,0.0,1.0,1963.7142857142858,3.5,5.0,d3_forecast,insufficient_data
SKU04726,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4082683.6500000004,0.0,1.0,4976.666666666667,1.5,1.0,d3_forecast,insufficient_data
SKU01046,Health & Wellness,First Aid,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4067528.36,0.0,1.0,7262.0,1.0,0.0,d3_forecast,insufficient_data
SKU04612,Home & Kitchen,Cookware,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,4024499.19,0.0,1.0,7567.0,1.0,1.0,d3_forecast,insufficient_data
SKU01310,Frozen Foods,Frozen Meat,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,3990684.633333334,0.0,1.0,3858.4615384615386,2.142857142857143,2.1666666666666665,d3_forecast,low_history
SKU01981,Electronics & Accessories,Mobile Accessories,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3970680.39,0.0,1.0,8785.0,1.0,0.0,d3_forecast,insufficient_data
SKU01851,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3901376.0399999996,0.0,1.0,2518.0,2.0,3.0,d3_forecast,insufficient_data
SKU01675,Apparel & Footwear,Kids Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3876774.75,0.0,1.0,2429.0,3.0,0.0,d3_forecast,insufficient_data
SKU00012,Health & Wellness,Vitamins & Supplements,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3761958.9600000004,0.0,1.0,2385.3333333333335,3.0,0.0,d3_forecast,insufficient_data
SKU00638,Electronics & Accessories,Batteries,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3760332.866666666,0.0,1.0,3477.0,1.6666666666666667,1.875,d3_forecast,insufficient_data
SKU03839,Personal Care,Skin Care,MARKDOWN_CLEAR,Markdown clear,P2,overstock risk 1.00 >= 0.50 with stockout below 0.50: reduce excess inventory,3694651.98,0.0,1.0,4028.5,2.4,2.0,d3_forecast,low_history
SKU03362,Frozen Foods,Frozen Vegetables,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3680861.21,0.0,1.0,4692.666666666667,1.5,2.0,d3_forecast,insufficient_data
SKU00090,Health & Wellness,OTC Medicine,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3637983.2600000002,0.0,1.0,5245.333333333333,1.5,1.0,d3_forecast,insufficient_data
SKU04664,Frozen Foods,Ready Meals,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3574413.12,0.0,1.0,7820.0,1.0,0.0,d3_forecast,insufficient_data
SKU01264,Apparel & Footwear,Men's Wear,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3572146.96,0.0,1.0,1808.3333333333333,3.0,0.0,d3_forecast,insufficient_data
SKU03600,Home & Kitchen,Storage & Containers,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3566905.3,0.0,1.0,8378.0,1.0,0.0,d3_forecast,insufficient_data
SKU04352,Frozen Foods,Frozen Vegetables,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3461254.4699999997,0.0,1.0,2541.0,3.0,0.0,d3_forecast,insufficient_data
SKU00498,Frozen Foods,Ready Meals,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3451244.0833333335,0.0,1.0,3197.625,2.6666666666666665,1.5,d3_forecast,insufficient_data
SKU00155,Frozen Foods,Frozen Vegetables,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3424982.82,0.0,1.0,2145.1428571428573,3.5,5.0,d3_forecast,insufficient_data
SKU01877,Health & Wellness,Vitamins & Supplements,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3400449.66,0.0,1.0,3622.0,1.0,0.0,d3_forecast,insufficient_data
SKU03931,Home & Kitchen,Home Decor,WATCH_VOLATILE,Watch volatile,P3,insufficient official history to justify a precise decision; placed in Watch/Volatile pending more observations,3372806.83,0.0,1.0,1777.5,2.0,3.0,d3_forecast,insufficient_data
